id,diaSemana,consumoInterno,ocuparMesa,liberacionMesa,observacion
0vfihfie1FZ3f3BuUIhS,viernes,True,12:55:03.746,13:16:09.546,
5VjKSu2qeg1S43QEsAtl,viernes,True,12:31:41.953,12:41:02.501,
JXL13zqqABji9IjfsyLx,viernes,True,12:22:26.328,13:11:16.834,
W7ERMLCUP7gMmz4hD0ra,viernes,True,13:00:13.030,13:46:43.807,
OVsKrP8E12IrQHKozEXz,viernes,True,13:04:38.427,13:29:23.345,
4GDRb2bjJB3QHaHW5SQ6,viernes,True,12:46:26.056,12:52:36.374,
dcRdOB4y6gwMIvWHM1Gc,sábado,True,12:57:11.475,13:13:01.028,
Wbzfej9eWICqxzt9Zmst,sábado,True,14:10:33.077,14:20:51.493,
ReOpGWDNu6yLoOBwpqWX,sábado,True,14:01:48.412,14:17:47.989,
tq1OCjWHDeeqKJvBUgQC,sábado,True,13:19:59.013,13:22:17.153,
SoVAPHsgcVdmBUaFoIu4,sábado,True,12:27:44.604,12:59:37.567,
swP2OxMBclT9pDRT6Z8c,sábado,True,12:50:57.154,13:07:32.144,
TzTHTVtkirpemJKJVgim,sábado,True,13:14:07.589,13:37:22.422,
qPVMBUn7dBqi85F9asrc,sábado,True,13:23:39.731,13:32:18.387,
i478encuIOTQubqX6lKp,sábado,True,12:42:49.212,13:11:23.076,
3MKKfkWX9FWHpbVQRbDw,sábado,True,12:29:53.485,13:00:15.404,
cvvH0deHdZnEanrFrMLY,sábado,True,12:07:57.800,12:40:41.627,
XRWrzOE4kYJj011ca6PC,sábado,True,12:46:14.150,13:15:32.319,
QziyNi2wCvalA97FR1BX,sábado,True,13:22:49.419,13:46:56.851,
nRWGInDO3urFZQhl1GGB,sábado,True,13:23:39.258,13:24:14.340,
aQS99cqCq7tRlXLFEY35,sábado,True,13:24:33.635,13:32:12.573,
maxZiNVP19O76Zxmao7t,sábado,True,12:09:19.290,12:22:55.149,
kMvRwrDfZhC4u5qiBEt9,sábado,True,13:20:18.955,13:39:32.015,
fTTfzYDpPNmqH1pxuiLt,sábado,True,13:03:11.138,13:21:20.412,
cfp6FZ9ya3fSp3DCTq8i,sábado,True,12:24:58.560,12:43:52.790,
nk6ZW6ChetrL5TbZrubF,sábado,True,12:23:08.690,12:24:31.521,
PooRE0YIKsjU9ezGB5Bu,sábado,True,13:38:31.359,13:58:12.952,
jHwfGtG4rw6S9ptwsKsn,sábado,True,14:01:35.506,14:21:40.230,
B265KL4JVI4TEz4Q5oKj,sábado,True,12:50:12.242,13:15:11.717,
4NhSbbJ71qltYkHtSd3M,sábado,True,13:14:17.303,13:21:43.856,
4ZfBjZPbw8c9E3gsGqzJ,sábado,True,13:32:39.738,13:50:47.639,
4jrIBqm5JUCLhtW3cXaE,sábado,True,13:07:53.016,13:11:19.915,
5D71UqN6pJNbYOHXwp6t,sábado,True,13:23:35.550,13:44:59.844,
5K3Pn0bEIJeisZmSqc5l,sábado,True,12:45:03.647,12:59:55.315,
8FpDBGd9BSabD58iHkKD,sábado,True,13:29:59.971,13:31:54.126,
xkyPjE4QLXfDDtU8jOHI,sábado,True,12:46:07.043,12:55:37.362,
Av5z0SmpEX7eWp2ANms0,sábado,True,12:37:24.493,12:47:57.523,
xgHUAIs8UvKPfTL8VqK9,sábado,True,13:19:44.785,13:49:13.265,
CQMGUP1EaAEO62m3x489,sábado,True,12:53:21.103,13:15:25.742,
D2z7OCD6FeePeDiztOGY,sábado,True,13:00:13.503,13:11:21.457,
wqdEVNriRQVVjMwG4EC9,sábado,True,13:14:06.983,13:33:11.686,
whP57TfATlwXk8oyUXV0,sábado,True,13:54:56.315,14:14:34.805,
IcadYQR2h3yvIyixLP4v,sábado,True,13:44:17.288,14:15:55.983,
IhFR04hbSgNYRLFoCIdV,sábado,True,13:18:09.886,13:21:41.340,
iTX3Tcs6aBbNooU9FgRn,sábado,True,12:42:47.775,12:44:50.902,Despues de sentarse se levanto a pedir algo y le quitanron la mesa
oM9GqXuZGOuiRWKGOHZr,domingo,True,14:11:09.904,14:20:13.257,
w2wrGcj4m5ASYfdKzUea,domingo,True,14:39:46.984,14:59:32.157,
lJ5xuGEXae1JPFeim2Oj,domingo,True,12:54:38.780,13:02:16.442,
ykLhXcBgprhwS7bmk90E,domingo,True,12:48:36.302,13:04:44.826,
wP5APuiJWQx6nWxdZkBJ,domingo,True,13:31:57.464,13:55:56.926,
jpojnoG1H9c8nPWXjsrh,domingo,True,14:11:15.847,14:21:16.732,
jQXQHzKCzn6o6e6B4mZM,domingo,True,14:34:13.607,14:52:48.127,
wKhqa4s7UMxjW2hHhsAH,domingo,True,14:39:44.940,14:59:38.248,
X5A8CIU3obc75KHhjoPC,domingo,True,14:03:58.453,14:10:38.351,
iwnj3lWFrCGAEi1MBghn,domingo,True,15:04:12.006,15:22:02.857,
RwxEmVm4de6U6uKo7dWf,domingo,True,14:14:56.020,14:38:47.707,
68oYbpe9DjbcktL9GCtE,domingo,True,14:07:16.420,14:22:56.443,
9BzNg8igKBkOSDwBV2eo,domingo,True,15:08:06.890,15:19:47.540,
ACEwvDRNbrHXQzAYo3u2,domingo,True,12:27:37.711,12:35:31.217,
Dq1dbTi8cmvJqCig5JlT,domingo,True,12:40:24.754,13:08:53.537,
GswHlzFA1ExhpbBiXAPf,domingo,True,13:21:40.752,13:43:28.829,
Gw0vSAD8PiK4Y8tMC8w4,domingo,True,12:37:32.603,12:43:54.969,
NWxDfUWQdwJBuw4rlqly,domingo,True,15:04:10.934,15:19:29.000,
OUnrkMgfNpen49kQlknV,domingo,True,14:23:32.836,14:44:20.892,
SsB6Xoz0JCDEeNiy1HCA,domingo,True,14:21:33.029,14:42:29.635,
hSrWOHcalowWWDQH6NN9,domingo,True,12:07:51.136,12:26:18.180,
UFNb9uo41Ur7iVtRuaXB,domingo,True,14:43:40.037,15:09:59.835,
X3C8RfsZJdvtLJwlqcmt,domingo,True,14:52:24.311,15:07:35.055,
XhRZLtww2590BEIn71iz,domingo,True,13:25:32.956,13:45:45.651,
Zu2YAsfsBGknVPFuWauw,domingo,True,11:54:33.315,12:09:17.215,
b0FwBBX0tPYrO0xLEen3,domingo,True,13:02:32.971,13:27:52.893,
bEA0Tt3M1QxHsrm9q83w,domingo,True,13:01:05.476,13:22:52.153,
cIuv935OSmCloEOxwbIa,domingo,True,13:47:22.853,14:05:45.239,
h5akIbzTuXFQcU2WSglp,domingo,True,13:38:01.956,14:07:07.187,
yphOHthliMSKmgjuIywW,domingo,True,14:19:49.601,14:36:36.801,
